AddrLib,V2000
Name, Address ,Address type(0-1),Data type(0-8),Description
M16106_WRK,3x_Bit6.9,0,0,M16106_WRK
M16106_SRT,4x_Bit6.10,0,0,M16106_SRT
O16106_REM,3x_Bit6.11,0,0,O16106_REM
O16106_PUMP1,3x_Bit6.12,0,0,O16106_PUMP1
O16106_PUMP2,3x_Bit6.13,0,0,O16106_PUMP2
O16106_RDY,3x_Bit6.14,0,0,O16106_RDY
O16106_SRT,4x_Bit6.15,0,0,O16106_SRT
B16401_REM,3x_Bit7.0,0,0,B16401_REM
B16401_WRK,3x_Bit7.1,0,0,B16401_WRK
B16401_SRT,4x_Bit7.2,0,0,B16401_SRT
B16402_REM,3x_Bit7.3,0,0,B16402_REM
B16402_WRK,3x_Bit7.4,0,0,B16402_WRK
B16402_SRT,4x_Bit7.5,0,0,B16402_SRT
B16403_REM,3x_Bit7.6,0,0,B16403_REM
B16403_WRK,3x_Bit7.7,0,0,B16403_WRK
B16403_SRT,4x_Bit7.8,0,0,B16403_SRT
B16404_REM,3x_Bit7.9,0,0,B16404_REM
B16404_WRK,3x_Bit7.10,0,0,B16404_WRK
B16404_SRT,4x_Bit7.11,0,0,B16404_SRT
B40516_REM,3x_Bit7.12,0,0,B40516_REM
B40516_WRK,3x_Bit7.13,0,0,B40516_WRK
B40516_SRT,4x_Bit7.14,0,0,B40516_SRT
L16201_REM,3x_Bit7.15,0,0,L16201_REM
L16201_WRK,3x_Bit8.0,0,0,L16201_WRK
L16201_SRT,4x_Bit8.1,0,0,L16201_SRT
L16201_RPM,3x_Bit8.2,0,0,L16201_RPM
C16201_REM,3x_Bit8.3,0,0,C16201_REM
C16201_WRK,3x_Bit8.4,0,0,C16201_WRK
C16201_SRT,4x_Bit8.5,0,0,C16201_SRT
C16201_A_REM,3x_Bit8.6,0,0,C16201_A_REM
C16201_A_SRT,4x_Bit8.7,0,0,C16201_A_SRT
C16201_A_POS_1,3x_Bit8.8,0,0,C16201_A_POS_1
C16201_A_POS_2,3x_Bit8.9,0,0,C16201_A_POS_2
C16201_B_REM,3x_Bit8.10,0,0,C16201_B_REM
C16201_B_SRT,4x_Bit8.11,0,0,C16201_B_SRT
C16201_B_POS_1,3x_Bit8.12,0,0,C16201_B_POS_1
C16201_B_POS_2,3x_Bit8.13,0,0,C16201_B_POS_2
X16105_A,3x_Bit8.14,0,0,X16105_A
X16105_B,3x_Bit8.15,0,0,X16105_B
C16104_REM,3x_Bit9.0,0,0,C16104_REM
C16104_WRK,3x_Bit9.1,0,0,C16104_WRK
C16104_SRT,4x_Bit9.2,0,0,C16104_SRT
M16104_REM,3x_Bit9.3,0,0,M16104_REM
M16104_OPN,4x_Bit9.4,0,0,M16104_OPN
M16104_CLS,4x_Bit9.5,0,0,M16104_CLS
L16101_REM,3x_Bit9.6,0,0,L16101_REM
L16101_WRK,3x_Bit9.7,0,0,L16101_WRK
L16101_SRT,4x_Bit9.8,0,0,L16101_SRT
L16102_REM,3x_Bit9.9,0,0,L16102_REM
L16102_WRK,3x_Bit9.10,0,0,L16102_WRK
L16102_SRT,4x_Bit9.11,0,0,L16102_SRT
L16102_RPM,3x_Bit9.12,0,0,L16102_RPM
TEMP_REDUC,3x_Bit9.13,0,0,TEMP_REDUC
RESET_BOX,3x_Bit9.14,0,0,RESET_BOX
L16001_CUR,3x10,1,0,L16001_CUR
L16106_CUR,3x11,1,0,L16106_CUR
X16106M1_CUR,3x12,1,0,X16106M1_CUR
C16105_CUR,3x13,1,0,C16105_CUR
M16105_CUR,3x14,1,0,M16105_CUR
C16103_CUR,3x15,1,0,C16103_CUR
M16103_CUR,3x16,1,0,M16103_CUR
M16106_CUR,3x17,1,0,M16106_CUR
L16201_CUR,3x18,1,0,L16201_CUR
X16105A_CUR,3x19,1,0,X16105A_CUR
X16105B_CUR,3x20,1,0,X16105B_CUR
C16104_CUR,3x21,1,0,C16104_CUR
M16104_PER,3x22,1,0,M16104_PER
L16101_CUR,3x23,1,0,L16101_CUR
TRM_1_1,3x24,1,0,TRM_1_1
TRM_1_2,3x25,1,0,TRM_1_2
TRM_1_3,3x26,1,0,TRM_1_3
TRM_1_4,3x27,1,0,TRM_1_4
TRM_1_5,3x28,1,0,TRM_1_5
TRM_1_6,3x29,1,0,TRM_1_6
TRM_1_7,3x30,1,0,TRM_1_7
TRM_1_8,3x31,1,0,TRM_1_8
TRM_2_1,3x32,1,0,TRM_2_1
TRM_2_2,3x33,1,0,TRM_2_2
TRM_2_3,3x34,1,0,TRM_2_3
TRM_2_4,3x35,1,0,TRM_2_4
TRM_2_5,3x36,1,0,TRM_2_5
TRM_2_6,3x37,1,0,TRM_2_6
TRM_2_7,3x38,1,0,TRM_2_7
TRM_2_8,3x39,1,0,TRM_2_8
